 n        a_n        b_n    x_(n+1)     f(a_n)    f(b_n)  f(x_(n+1))  delta=(b-a)/2^(n+1)
11 6.7651367 6.7656250 6.7653809  -0.0044589 0.0149371   0.0052384          2.4414062e-04
12 6.7651367 6.7653809 6.7652588  -0.0044589 0.0052384   0.0003896          1.2207031e-04
13 6.7651367 6.7652588 6.7651978  -0.0044589 0.0003896  -0.0020347          6.1035156e-05
14 6.7651978 6.7652588 6.7652283  -0.0020347 0.0003896  -0.0008226          3.0517578e-05
15 6.7652283 6.7652588 6.7652435  -0.0008226 0.0003896  -0.0002165          1.5258789e-05
16 6.7652435 6.7652588 6.7652512  -0.0002165 0.0003896   0.0000866          7.6293945e-06
17 6.7652435 6.7652512 6.7652473  -0.0002165 0.0000866  -0.0000650          3.8146973e-06
18 6.7652473 6.7652512 6.7652493  -0.0000650 0.0000866   0.0000108          1.9073486e-06
19 6.7652473 6.7652493 6.7652483  -0.0000650 0.0000108  -0.0000271          9.5367432e-07
20 6.7652483 6.7652493 6.7652488  -0.0000271 0.0000108  -0.0000081          4.7683716e-07
21 6.7652488 6.7652493 6.7652490  -0.0000081 0.0000108   0.0000013          2.3841858e-07
22 6.7652488 6.7652490 6.7652489  -0.0000081 0.0000013  -0.0000034          1.1920929e-07
23 6.7652489 6.7652490 6.7652490  -0.0000034 0.0000013  -0.0000010          5.9604645e-08
24 6.7652490 6.7652490 6.7652490  -0.0000010 0.0000013   0.0000001          2.9802322e-08
Giá trị nghiệm với sai số tuyệt đối 5e-08 là: 6.7652489840984344
delta_x = 5e-07
 n       a_n       b_n   x_(n+1)      f(a_n)     f(b_n)  f(x_(n+1))  delta_x=|x_(n+1)-x_n|
 0 1.0000000 2.0000000 1.5000000 -16.0000000 15.0000000  -9.4062500              1.5000000
 1 1.5000000 2.0000000 1.7500000  -9.4062500 15.0000000  -0.5869141              0.2500000
 2 1.7500000 2.0000000 1.8750000  -0.5869141 15.0000000   6.1742859              0.1250000
 3 1.7500000 1.8750000 1.8125000  -0.5869141  6.1742859   2.5609560              0.0625000
 4 1.7500000 1.8125000 1.7812500  -0.5869141  2.5609560   0.9318207              0.0312500
 5 1.7500000 1.7812500 1.7656250  -0.5869141  0.9318207   0.1590147              0.0156250
 6 1.7500000 1.7656250 1.7578125  -0.5869141  0.1590147  -0.2172648              0.0078125
 7 1.7578125 1.7656250 1.7617188  -0.2172648  0.1590147  -0.0299593              0.0039062
 8 1.7617188 1.7656250 1.7636719  -0.0299593  0.1590147   0.0643184              0.0019531
 9 1.7617188 1.7636719 1.7626953  -0.0299593  0.0643184   0.0171273              0.0009766
10 1.7617188 1.7626953 1.7622070  -0.0299593  0.0171273  -0.0064291              0.0004883
11 1.7622070 1.7626953 1.7624512  -0.0064291  0.0171273   0.0053459              0.0002441
12 1.7622070 1.7624512 1.7623291  -0.0064291  0.0053459  -0.0005424              0.0001221
13 1.7623291 1.7624512 1.7623901  -0.0005424  0.0053459   0.0024015              0.0000610
14 1.7623291 1.7623901 1.7623596  -0.0005424  0.0024015   0.0009295              0.0000305
15 1.7623291 1.7623596 1.7623444  -0.0005424  0.0009295   0.0001935              0.0000153
16 1.7623291 1.7623444 1.7623367  -0.0005424  0.0001935  -0.0001744              0.0000076
17 1.7623367 1.7623444 1.7623405  -0.0001744  0.0001935   0.0000095              0.0000038
18 1.7623367 1.7623405 1.7623386  -0.0001744  0.0000095  -0.0000825              0.0000019
19 1.7623386 1.7623405 1.7623396  -0.0000825  0.0000095  -0.0000365              0.0000010
20 1.7623396 1.7623405 1.7623401  -0.0000365  0.0000095  -0.0000135              0.0000005
Giá trị nghiệm với sai số tuyệt đối 5e-07 là: 1.7623400688171387
sigma_x = 5e-07
